x_m	y_m
14.568267017929822	25.550737974046548
14.96436337873224	25.554014674696475
15.359708883664258	25.543686150196574
15.754135986374623	25.515605190791796
16.147465604794665	25.465642168751636
16.538643851690306	25.3910312963738
16.92513605149143	25.291315361464253
17.30426424706161	25.166260467407326
17.673350401707786	25.01563271758728
18.029716558293533	24.83919813583176
18.370684759682437	24.636722825525077
18.693610144313663	24.40802253341485
18.996615652067867	24.154067930456236
19.278597275007634	23.876992408365776
19.538485135007814	23.57898035468672
19.775209115273256	23.262216077405693
19.987699178565457	22.928884202735993
20.174886401439355	22.58116895910757
20.336965379514663	22.2212700089447
20.477881487269524	21.851431884634724
20.60227295823861	21.47390747201552
20.714778025956548	21.090949577368285
20.820034764844646	20.704811166087577
20.922681408437562	20.317745124011275
21.02733120947492	19.931991767023085
21.13661980094363	19.54880681763394
21.249801418600324	19.167762022278445
21.365799103776016	18.78826404729677
21.483535738688413	18.409719797699115
21.601934364668605	18.03153593982565
21.719917943490913	17.653119299129887
21.836436724868257	17.27389181683304
21.951087197360188	16.89363813302398
22.064124737883876	16.51251250808972
22.17583431843841	16.130685670648408
22.28650099057963	15.748328349318152
22.396409726306633	15.365611431830425
22.50584557717523	14.982705805916698
22.615093435627884	14.599782041081763
22.72443843277706	14.217011184170415
22.834165540621868	13.834563884244119
22.944559731161455	13.452610949477673
23.05590597639495	13.071323188045872
23.168489327878135	12.690871487680187
23.282594757610152	12.311426576998748
23.39827851215812	11.93289083996499
23.51429910965535	11.553645298303595
23.62895841293788	11.17153500043992
23.74044070008051	10.784438726828254
23.83643879259383	10.393304156545542
23.88599488225668	10.004534090111537
23.856236947762675	9.625092839037
23.727006044435438	9.261564593053874
23.51756785463807	8.919353875561573
23.254807760108452	8.603637439207546
22.965133166099005	8.319300779663044
22.663248532296688	8.064096739170573
22.35174478083874	7.828395300810435
22.03264758370781	7.602266280339459
21.70752436645573	7.379343871090376
21.377136088650275	7.159537617127115
21.042161448260316	6.9433953456931095
20.703279222811418	6.73146480447513
20.361168189829133	6.524293741159933
20.016507206395694	6.322429903434288
19.66996255963917	6.126389773212864
19.32189153857352	5.935905483181008
18.97232779567102	5.749887902498954
18.621289469852876	5.567208997114328
